Group,Test,Symbol,Parameter,TestMethod,Alt1,Alt1,Alt3,SampleType,FieldSampleMass,SpecimenType,SpecimenMass,SpecimenNumbers,SpecimenD,SpecimenL,SpecimenW,SpecimenH,SpecimenMaxGrainSize,SpecimenMaxGrainFraction
Compaction,Compaction by vibrating hammer,VH,"maximum dry density, optimum water content, air voids",BS 1377-2:11.7 (2022),NULL,NULL,NULL,Disturbed,120,NULL,10,5,152,NULL,NULL,127,20,NULL
Compaction,Moisture condition value,MCV,moisture condition,BS 1377-2:13.4 (2022),NULL,NULL,NULL,Disturbed,60,NULL,3,1,100,NULL,NULL,200,20,NULL
Compaction,Moisture content calibration,MCC,moisture content calibration,BS 1377-2:13.5 (2022),NULL,NULL,NULL,Disturbed,60,NULL,3,1,100,NULL,NULL,200,20,NULL
Compaction,Chalk crushing value,CCV,chalk crushing value,BS 1377-2:14 (2022),NULL,NULL,NULL,Disturbed,,Lumps,1,1,100,NULL,NULL,200,20,10/20
Compaction,California bearing ratio,CBR,California bearing ratio,BS 1377-2:12 (2022),NULL,NULL,NULL,Disturbed,60,NULL,5,1,152,NULL,NULL,127,20,NULL
Compaction,Maximum & minimum density,RD,relative density maximum density minimum void ratio minimum density maximum void ratio,BS 1377-2:16 (2022),NGI & Geolabs 2019 Can. Geotech. J. Vol. 56 No 4, ASTM D4253 & D4254 (modified),DS 415 & DGI 6,Disturbed,0.6 4 8 20,NULL,0.15 1 2 5,1,35 70 105 152,NULL,NULL,2D 2D 115 127,2.4 6.3 37.5,NULL
Consolidation & swelling,Incremental loading consolidation,OED,"coefficient of compressibility, compression index, coefficient of consolidation pre-consolidation stress swelling stress constrained modulus coefficient of secondary consolidation",BS EN ISO 17892-5:2017,ASTM D2435/D2435M-11 (2020),NULL,NULL,Intact or disturbed,1,Intact reconstituted remoulded,0.2,1,50 63.5 75,NULL,NULL,20,H/6,NULL
Consolidation & swelling,Consolidation in a hydraulic (Rowe) cell,Rowe,coefficient of compressibility compression index coefficient of consolidation pre-consolidation stress,BS 1377-2:20 (2022),NULL,NULL,NULL,Intact or disturbed,1,Intact reconstituted remoulded,0.2,1,70,NULL,NULL,25,H/10,NULL
Consolidation & swelling,Constant rate of strain consolidation,CRS,coefficient of compressibility compression index coefficient of consolidation pre-consolidation stress,ASTM D4186/D4186M-20e1,NULL,NULL,NULL,Intact or disturbed,1,Intact reconstituted remoulded,0.2,1,70,NULL,NULL,25,H/10,NULL
Consolidation & swelling,Consolidation in a triaxial cell,TCC,coefficient of compressibility coefficient of consolidation,BS 1377-2:22 (2022),JGS 525-2020,NULL,NULL,Intact or disturbed,0.8-16,Intact reconstituted remoulded,0.2-4,1,NULL,NULL,NULL,NULL,NULL,NULL
Consolidation & swelling,Swelling strain index,SSI,swelling strain,BS EN ISO 17892-5,NULL,NULL,NULL,Intact or disturbed,1,Intact reconstituted remoulded,0.2,1,50 63.5 75,NULL,NULL,20,H/6,NULL
Consolidation & swelling,Swelling stress,SP,swelling stress,,NULL,NULL,NULL,Intact or disturbed,1,Intact reconstituted remoulded,0.2,1,50 63.5 75,NULL,NULL,20,H/6,NULL
Consolidation & swelling,Collapse or swelling on wetting,CS,swelling strain swelling stress,,NULL,NULL,NULL,Intact or disturbed,1,Intact reconstituted remoulded,0.2,1,50 63.5 75,NULL,NULL,20,H/6,NULL
Undrained shear strength,Hand vane,HV,undrained shear strength,BS EN ISO 17892-10,NULL,NULL,NULL,Intact,,Intact,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL
Undrained shear strength,Torvane,TV,undrained shear strength,In-house,NULL,NULL,NULL,Intact,,Intact,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL
Undrained shear strength,Lab vane,LV,undrained shear strength sensitivity,BS 1377-2:24,NULL,NULL,NULL,Intact,4,Intact reconstituted remoulded,2,1,70 100,NULL,NULL,1.0D,H/10,NULL
Undrained shear strength,Fall cone,FC,undrained shear strength sensitivity,BS EN ISO 17892-6,NULL,NULL,NULL,Intact,2,Intact reconstituted remoulded,0.1-0.5,1,50,NULL,NULL,(0.5-1.0)D,H/10,NULL
Undrained shear strength,Thixotropy (fall cone test),Thx,water content undrained shear strength sensitivity,EN ISO 19901-8,NULL,NULL,NULL,Intact,2,Intact remoulded,0.1-0.5,2,50,NULL,NULL,(0.5-1.0)D,H/10,NULL
Undrained shear strength,Unconfined compression,UC,undrained shear strength,BS EN ISO 17892-7,NULL,NULL,NULL,Intact or disturbed,5-35,Intact reconstituted remoulded,0.5-5,1,38 50 70 100,NULL,NULL,(1.8-2.5)D,D/6,NULL
Undrained shear strength,Unconsolidated undrained triaxial compression,UU,undrained shear strength sensitivity,BS EN ISO 17892-8,NULL,NULL,NULL,Intact or disturbed,5-35,Intact reconstituted remoulded,0.2 or 0.8 0.5 or 1.5 1 or 3 3 or 9,1 or 3,38 50 70 100,NULL,NULL,2.0D,D/6,NULL
Undrained shear strength,Consolidated undrained direct simple shear,DSS,undrained shear strength shear modulus,ASTM D6528-17,NULL,NULL,NULL,Intact or disturbed,1,Intact reconstituted remoulded,0.2,1,63.5,NULL,NULL,0.4D,H/10,NULL
Drained shear strength,Consolidated drained direct shear (small shearbox) under constant normal load (CNL) or constant normal stiffness (CNS),sDS,drained shear strength apparent cohesion angle of friction,BS EN IOS 17892-10,NULL,NULL,NULL,Intact or disturbed,2-4,Intact reconstituted remoulded,0.6 1.2,3,NULL,60 100,60 100,20,H/6,NULL
Drained shear strength,Peak & residual shear stength by multiple reversals in a small shearbox,sPR,peak & residual drained shear strength apparent cohesion angle of friction,,NULL,NULL,NULL,Intact or disturbed,2-4,Intact reconstituted remoulded,0.6 1.2,3,NULL,60 100,60 100,20,H/6,NULL
Drained shear strength,Consolidated drained direct shear (large shearbox),LDS,drained shear strength apparent cohesion angle of friction,,NULL,NULL,NULL,Disturbed,120,Reconstituted remoulded,35,3,NULL,300,300,150,20,NULL
Drained shear strength,Peak & residual shear stength by multiple reversals in a large shearbox,LPR,peak & residual drained shear strength apparent cohesion angle of friction,,NULL,NULL,NULL,Disturbed,120,Reconstituted remoulded,35,3,NULL,300,300,150,20,NULL
Drained shear strength,Interface shearbox test (Direct shear),ISB,interface drained shear strength cohesion angle of friction,,NULL,NULL,NULL,Disturbed,2.5,Intact reconstituted remoulded,0.6,3,NULL,60,60,20,H/6,NULL
Drained shear strength,Residual shear strength using the ring shear apparatus,RS,residual drained shear strength apparent cohesion angle of friction,,NULL,NULL,NULL,Disturbed,2.5,Reconstituted remoulded,0.6,3,outer 100 inner 70,NULL,NULL,5,H/6,NULL
Drained shear strength,Interface ring shear test,IRS,interface residual drained shear strength cohesion angle of friction,,NULL,NULL,NULL,Disturbed,2.5,Reconstituted remoulded,0.6,3,outer 100 inner 70,NULL,NULL,5,H/6,NULL
Drained shear strength,ICP ring shear test,ICP,interface residual drained shear strength,,NULL,NULL,NULL,Disturbed,1,Reconstituted remoulded,0.2,1,outer 100 inner 70,NULL,NULL,5,H/6,NULL
Triaxial shear strength in compression,Consolidated isotropic undrained,CIUc,undrained shear strength apparent cohesion angle of friction Young's modulus,BS EN ISO 17892-9,NULL,NULL,NULL,Intact or disturbed,12,Intact reconstituted remoulded,0.2 or 0.8 0.5 or 1.5 1 or 3 3 or 9,1 or 3,38 50 70 100,NULL,NULL,2.0D,D/6,NULL
Triaxial shear strength in compression,K0-consolidated undrained,CK0Uc,undrained shear strength apparent cohesion angle of friction Young's modulus,BS EN ISO 17892-9,JGS 0525-2020,NULL,NULL,Intact or disturbed,12,Intact reconstituted remoulded,0.2 or 0.8 0.5 or 1.5 1 or 3 3 or 9,1 or 3,38 50 70 100,NULL,NULL,2.0D,D/6,NULL
Triaxial shear strength in compression,Consolidated isotropic drained,CIDc,drained shear strength apparent cohesion angle of friction,,NULL,NULL,NULL,Intact or disturbed,12,Intact reconstituted remoulded,0.2 or 0.8 0.5 or 1.5 1 or 3 3 or 9,1 or 3,38 50 70 100,NULL,NULL,2.0D,D/6,NULL
Triaxial shear strength in compression,Consolidated anisotropic undrained,CAUc,undrained shear strength apparent cohesion angle of friction Young's modulus,,NULL,NULL,NULL,Intact or disturbed,12,"Intact, reconstituted, remoulded",0.2 or 0.8 0.5 or 1.5 1 or 3 3 or 9,1 or 3,38 50 70 100,NULL,NULL,2.0D,D/6,NULL
Triaxial shear strength in compression,Consolidated anisotropic drained,CADc,drained shear strength apparent cohesion angle of friction,,NULL,NULL,NULL,Intact or disturbed,12,"Intact, reconstituted, remoulded",0.2 or 0.8 0.5 or 1.5 1 or 3 3 or 9,1 or 3,38 50 70 100,NULL,NULL,2.0D,D/6,NULL
Triaxial shear strength in extension,Consolidated isotropic undrained,CIUe,undrained shear strength apparent cohesion angle of friction Young's modulus,,NULL,NULL,NULL,Intact or disturbed,12,Intact reconstituted remoulded,0.2 or 0.8 0.5 or 1.5 1 or 3 3 or 9,1 or 3,38 50 70 100,NULL,NULL,2.0D,D/6,NULL
Triaxial shear strength in extension,K0-consolidated undrained,CK0Ue,"undrained shear strength apparent cohesion angle of friction,Young's modulus",BS EN ISO 17892-9,JGS 0526-2020,NULL,NULL,Intact or disturbed,12,Intact reconstituted remoulded,0.2 or 0.8 0.5 or 1.5 1 or 3 3 or 9,1 or 3,38 50 70 100,NULL,NULL,2.0D,D/6,NULL
Triaxial shear strength in extension,Consolidated isotropic drained ,CIDe,drained shear strength apparent cohesion angle of friction,,NULL,NULL,NULL,Intact or disturbed,12,Intact reconstituted remoulded,0.2 or 0.8 0.5 or 1.5 1 or 3 3 or 9,1 or 3,38 50 70 100,NULL,NULL,2.0D,D/6,NULL
Triaxial shear strength in extension,Consolidated anisotropic undrained,CAUe,undrained shear strength apparent cohesion angle of friction Young's modulus,,NULL,NULL,NULL,Intact or disturbed,12,Intact reconstituted remoulded,0.2 or 0.8 0.5 or 1.5 1 or 3 3 or 9,1 or 3,38 50 70 100,NULL,NULL,2.0D,D/6,NULL
